trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
172,False,"{'a': 0.002, 'e': 0.7103482047091773}",35,0,-99.02542375483844,"{0: 23, 1: 6, 2: 4, 3: 1, 4: 1}",0
173,False,"{'a': 0.002, 'e': 0.7089289280495107}",20,16,9.40940296683603,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.002, 'e': 0.7075124871065017}",25,0,-109.35663709426692,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
175,False,"{'a': 0.002, 'e': 0.7060988762143844}",20,0,-49.446392307833655,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
176,False,"{'a': 0.002, 'e': 0.7046880897187134}",20,1,-85.30426208266422,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 1}",1
177,False,"{'a': 0.002, 'e': 0.7032801219763409}",30,0,-90.95841349976322,"{0: 20, 1: 3, 2: 6, 3: 0, 4: 1}",0
178,False,"{'a': 0.002, 'e': 0.701874967355394}",20,4,-135.5738750342287,"{0: 10, 1: 0, 2: 1, 3: 3, 4: 2}",1
179,False,"{'a': 0.002, 'e': 0.7004726202352524}",20,8,-10.879136670868903,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 0}",1
180,False,"{'a': 0.002, 'e': 0.6990730750065257}",25,0,-58.1544587795075,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
181,False,"{'a': 0.002, 'e': 0.697676326071031}",20,2,-65.31595411759271,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 1}",1
182,False,"{'a': 0.002, 'e': 0.696282367841771}",30,18,-2.6465608311556794,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
